chain,metric,k,test_acc,test_auc
ce,LOF,79,0.8678882975805124,0.8918995370038195
ce,LOF,80,0.8628545564272783,0.8915814985819381
ce,LOF,81,0.8679157294124101,0.8901894324438413
ce,LOF,82,0.8687112525374444,0.8900563548454301
ce,LOF,83,0.8689992867723707,0.8912038078246709
ce,LOF,84,0.868244911395183,0.891401368128264
ce,LOF,85,0.8673670927744555,0.8893067859365855
ce,LOF,86,0.8682586273111318,0.889893014593271
ce,LOF,87,0.867929445328359,0.8911635213568815
ce,LOF,88,0.8679980249081034,0.8889024370922868
ce,LOF,89,0.8710018105009053,0.8855563475156512
ce,LOF,90,0.8710841059965985,0.8853004870160024
ce,LOF,91,0.8686015252098536,0.8853169915382483
ce,LOF,92,0.8693147528391946,0.8860190557405552
ce,LOF,93,0.8672985131947112,0.8845245502520533
ce,LOF,94,0.8671887858671202,0.8779371175084651
ce,LOF,95,0.8667087288089098,0.8822498091525902
ce,LOF,96,0.8660503648433643,0.8825693977544107
ce,LOF,97,0.8665578537334723,0.8763973859185934
ce,LOF,98,0.868862127612882,0.8768432709352141
ce,LOF,99,0.8682311954792341,0.8790996409227837
ce,GOF,1,0.8904784111482965,0.9619438905883455
ce,GOF,2,0.8859521588851703,0.9573984864325338
ce,GOF,3,0.8748834147144346,0.9527680420457968
ce,GOF,4,0.8667773083886542,0.9462112373067353
ce,GOF,5,0.8603171119767378,0.9403734554198296
ce,GOF,6,0.861633839907829,0.9370342745012199
ce,GOF,7,0.8577659516102485,0.9280677355335661
ce,GOF,8,0.8588357930542602,0.9301470344534206
ce,GOF,9,0.8761589948976792,0.9369322027779226
ce,GOF,10,0.8722225270203544,0.934508221007128
ce,GOF,11,0.8726888681626159,0.9346765065836894
ce,GOF,12,0.8703983101991551,0.9306183324051981
ce,GOF,13,0.8649530915674549,0.9284784489932982
ce,GOF,14,0.8589592362978,0.9239581003890154
ce,GOF,15,0.858547758819334,0.9234472978884045
ce,GOF,16,0.8535551654139464,0.9200486330827431
ce,GOF,17,0.8563394963515664,0.9206818064690715
ce,GOF,18,0.8552970867394525,0.9187075908555683
ce,GOF,19,0.8546112909420092,0.9164089050530493
ce,GOF,20,0.8521012783233665,0.9149534784398881
ce,GOF,21,0.8497284248642124,0.9144901863366365
ce,GOF,22,0.8491112086465135,0.9130097257970703
ce,GOF,23,0.8500987545948319,0.9140451151075755
ce,GOF,24,0.8488780380753826,0.9107439955453155
ce,GOF,25,0.8490426290667691,0.9105512485390521
ce,GOF,26,0.8520326987436221,0.9124105471056208
ce,GOF,27,0.8533905744225599,0.913000061642985
ce,GOF,28,0.8505376639051956,0.9116941909726991
ce,GOF,29,0.8531025401876338,0.9115598488736179
ce,GOF,30,0.8519641191638777,0.9081671389441984
ce,GOF,31,0.8520875624074176,0.9058597268350761
ce,GOF,32,0.8504416524935535,0.9056745019574608
ce,GOF,33,0.8501124705107808,0.9071126182279674
ce,GOF,34,0.8522384374828551,0.9065491733466295
ce,GOF,35,0.8515800735173095,0.9067054330779355
ce,GOF,36,0.8494403906292862,0.9061619937125978
ce,GOF,37,0.8487134470839963,0.9054095008593597
ce,GOF,38,0.8490426290667691,0.9051622426063929
ce,GOF,39,0.8477396170516267,0.9028551594267876
ce,GOF,40,0.847616173808087,0.9031144560448185
ce,GOF,41,0.8507845503922752,0.9043188525281272
ce,GOF,42,0.8484528446809678,0.9039230877198798
ce,GOF,43,0.8472046963296209,0.9026015604598402
ce,GOF,44,0.84636802545674,0.9028856223974733
ce,GOF,45,0.8462445822132002,0.9036258276276393
ce,GOF,46,0.845750809239041,0.90301021042748
ce,GOF,47,0.8478904921270642,0.9050049960865355
ce,GOF,48,0.8489329017391781,0.9048051264473355
ce,GOF,49,0.8483979810171723,0.9050758195056979
ce,GOF,50,0.8472595599934164,0.9050062662780276
ce,GOF,51,0.8481648104460416,0.9054261362705136
ce,GOF,52,0.8472732759093652,0.905782855210189
ce,GOF,53,0.847712185219729,0.9018271135531163
ce,GOF,54,0.8489191858232292,0.9029465073649254
ce,GOF,55,0.8495364020409283,0.9034454160473535
ce,GOF,56,0.8483979810171723,0.9051861679606534
ce,GOF,57,0.8482059581938882,0.9036670496665813
ce,GOF,58,0.8616475558237779,0.9057363316013809
ce,GOF,59,0.8606325780435617,0.9044166413387144
ce,GOF,60,0.861126351017721,0.9040359924921213
ce,GOF,61,0.8590003840456466,0.9021212584893408
ce,GOF,62,0.861112635101772,0.9033084595846007
ce,GOF,63,0.8604405552202776,0.9042579083761253
ce,GOF,64,0.8612086465134141,0.9043326117977936
ce,GOF,65,0.8606325780435617,0.9039067334353371
ce,GOF,66,0.8594255774400614,0.9028783358688601
ce,GOF,67,0.8525813353815768,0.8992592541417347
ce,GOF,68,0.8513469029461788,0.8982284140744137
